,Unnamed: 0,Unnamed: 0.1,Date,PlayerID,Training,SessionType,Duration,RPE,SessionLoad,DailyLoad,AcuteLoad,ChronicLoad,AcuteChronicRatio,ObjectiveRating,FocusRating,BestOutOfMyself,SessionTypeMobility/Recovery,SessionTypeGame,SessionTypeSkills,SessionTypeConditioning,SessionTypeStrength,SessionTypeCombat,SessionTypeSpeed,SessionTypeUnknown,BestOutOfMyselfNotAtAll,BestOutOfMyselfAbsolutely,BestOutOfMyselfSomewhat,BestOutOfMyselfUnknown,TimeSinceAugFirst
31,31,31,2018-07-17,2,1,Skills,60.0,4.0,240.0,280.0,181.4,349.07,0.52,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,350
32,32,32,2018-07-17,2,1,Mobility/Recovery,40.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,1,350
33,33,33,2018-07-17,3,1,Skills,75.0,5.0,375.0,375.0,190.7,392.61,0.49,0.0,0.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,350
34,34,34,2018-07-17,4,1,Skills,60.0,5.0,300.0,300.0,107.1,309.11,0.35,7.0,8.0,,0,0,1,0,0,0,0,0,0,0,0,1,350
35,35,35,2018-07-17,5,1,Skills,60.0,5.0,300.0,300.0,42.9,100.71,0.43,9.0,9.0,,0,0,1,0,0,0,0,0,0,0,0,1,350
36,36,36,2018-07-17,6,1,Speed,30.0,3.0,90.0,370.0,52.9,333.5,0.16,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,1,350
38,38,38,2018-07-17,7,1,Skills,75.0,6.0,450.0,450.0,205.7,401.79,0.51,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,350
37,37,37,2018-07-17,6,1,Conditioning,35.0,8.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,1,0,0,0,0,0,0,0,1,350
39,39,39,2018-07-17,10,1,Skills,60.0,4.0,240.0,240.0,79.3,298.57,0.27,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,350
40,40,40,2018-07-17,11,1,Skills,90.0,5.0,450.0,450.0,210.0,391.36,0.54,9.0,9.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,350
41,41,41,2018-07-17,13,1,Skills,90.0,6.0,540.0,540.0,268.6,309.25,0.87,0.0,0.0,Not at all,0,0,1,0,0,0,0,0,1,0,0,0,350
42,42,42,2018-07-17,13,1,Mobility/Recovery,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,1,0,0,0,0,0,0,0,1,0,0,0,350
43,43,43,2018-07-17,14,1,Skills,90.0,5.0,450.0,450.0,137.1,330.93,0.41,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,350
44,44,44,2018-07-17,15,1,Skills,60.0,4.0,240.0,240.0,34.3,161.68,0.21,8.0,9.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,350
45,45,45,2018-07-17,16,1,Skills,60.0,3.0,180.0,220.0,147.9,401.25,0.37,10.0,10.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,350
46,46,46,2018-07-17,16,1,Mobility/Recovery,40.0,1.0,40.0,0.0,0.0,0.0,0.0,10.0,10.0,Absolutely,1,0,0,0,0,0,0,0,0,1,0,0,350
47,47,47,2018-07-16,1,1,Skills,60.0,3.0,180.0,240.0,34.3,166.96,0.21,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,349
48,48,48,2018-07-16,1,1,Speed,30.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,1,349
49,49,49,2018-07-16,2,1,Speed,20.0,3.0,60.0,240.0,141.4,339.07,0.42,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,1,349
50,50,50,2018-07-16,2,1,Skills,50.0,3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,349
51,51,51,2018-07-16,2,1,Mobility/Recovery,15.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,1,349
52,52,52,2018-07-16,3,1,Speed,30.0,4.0,120.0,360.0,137.1,379.21,0.36,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,1,349
53,53,53,2018-07-16,3,1,Skills,60.0,4.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,349
54,54,54,2018-07-16,7,1,Skills,60.0,3.0,180.0,240.0,141.4,385.71,0.37,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,349
55,55,55,2018-07-16,7,1,Speed,20.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,1,349
56,56,56,2018-07-16,10,1,Speed,25.0,3.0,75.0,315.0,45.0,290.0,0.16,7.0,8.0,,0,0,0,0,0,0,1,0,0,0,0,1,349
57,57,57,2018-07-16,10,1,Skills,60.0,4.0,240.0,0.0,0.0,0.0,0.0,7.0,8.0,,0,0,1,0,0,0,0,0,0,0,0,1,349
58,58,58,2018-07-16,11,1,Skills,90.0,4.0,360.0,360.0,145.7,375.29,0.39,9.0,9.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,349
59,59,59,2018-07-16,13,1,Speed,20.0,4.0,80.0,430.0,191.4,289.96,0.66,0.0,0.0,Not at all,0,0,0,0,0,0,1,0,1,0,0,0,349
60,60,60,2018-07-16,13,1,Skills,70.0,5.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,0,0,1,0,0,0,0,0,1,0,0,0,349
61,61,61,2018-07-16,13,1,Mobility/Recovery,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,1,0,0,0,0,0,0,0,1,0,0,0,349
62,62,62,2018-07-16,16,1,Speed,20.0,3.0,60.0,260.0,116.4,393.93,0.3,9.0,9.0,Absolutely,0,0,0,0,0,0,1,0,0,1,0,0,349
63,63,63,2018-07-16,16,1,Skills,60.0,3.0,180.0,0.0,0.0,0.0,0.0,9.0,9.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,349
64,64,64,2018-07-16,16,1,Mobility/Recovery,40.0,0.0,20.0,0.0,0.0,0.0,0.0,9.0,9.0,Absolutely,1,0,0,0,0,0,0,0,0,1,0,0,349
65,65,65,2018-07-15,3,0,,0.0,0.0,0.0,0.0,115.4,397.43,0.29,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,348
66,66,66,2018-07-15,7,0,,0.0,0.0,0.0,0.0,167.1,416.25,0.4,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,348
67,67,67,2018-07-15,10,0,,0.0,0.0,0.0,0.0,32.9,278.75,0.12,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,348
68,68,68,2018-07-15,11,0,,0.0,0.0,0.0,0.0,120.4,404.21,0.3,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,348
69,69,69,2018-07-15,13,0,,0.0,0.0,0.0,0.0,166.3,311.04,0.53,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,348
70,70,70,2018-07-15,16,0,,0.0,0.0,0.0,0.0,132.9,418.75,0.32,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,348
71,71,71,2018-07-14,1,0,,0.0,0.0,0.0,0.0,51.4,215.89,0.24,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,347
72,72,72,2018-07-14,2,1,Mobility/Recovery,30.0,2.0,60.0,60.0,247.0,404.25,0.61,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,1,347
73,73,73,2018-07-14,3,0,,0.0,0.0,0.0,0.0,256.9,397.43,0.65,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,347
74,74,74,2018-07-14,7,0,,0.0,0.0,0.0,0.0,293.6,452.14,0.65,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,347
75,75,75,2018-07-14,13,0,,0.0,0.0,0.0,0.0,269.1,346.39,0.78,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,347
76,76,76,2018-07-14,16,0,,0.0,0.0,0.0,0.0,255.0,455.89,0.56,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,347
77,77,77,2018-07-13,1,0,,0.0,0.0,0.0,0.0,51.4,215.89,0.24,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,346
78,78,78,2018-07-13,2,0,,0.0,0.0,0.0,0.0,238.4,402.11,0.59,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,346
79,79,79,2018-07-13,3,0,,0.0,0.0,0.0,0.0,256.9,397.43,0.65,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,346
80,80,80,2018-07-13,5,0,,0.0,0.0,0.0,0.0,111.4,121.96,0.91,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,346
81,81,81,2018-07-13,7,0,,0.0,0.0,0.0,0.0,293.6,452.14,0.65,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,346
82,82,82,2018-07-13,11,0,,0.0,0.0,0.0,0.0,231.9,450.82,0.51,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,346
83,83,83,2018-07-13,13,0,,0.0,0.0,0.0,0.0,306.3,346.39,0.88,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,346
84,84,84,2018-07-13,16,0,,0.0,0.0,0.0,0.0,175.7,436.07,0.4,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,346
85,85,85,2018-07-12,2,1,Speed,30.0,4.0,120.0,690.0,238.4,402.11,0.59,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,1,345
86,86,86,2018-07-12,2,1,Strength,45.0,4.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0,0,0,0,1,345
87,87,87,2018-07-12,2,1,Skills,60.0,3.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,345
88,88,88,2018-07-12,2,1,Mobility/Recovery,70.0,3.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,1,345
89,89,89,2018-07-12,3,1,Speed,30.0,4.0,120.0,600.0,256.9,397.43,0.65,0.0,0.0,Absolutely,0,0,0,0,0,0,1,0,0,1,0,0,345
90,90,90,2018-07-12,3,1,Strength,45.0,4.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,Absolutely,0,0,0,0,1,0,0,0,0,1,0,0,345
91,91,91,2018-07-12,3,1,Conditioning,75.0,4.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,Absolutely,0,0,0,1,0,0,0,0,0,1,0,0,345
92,92,92,2018-07-12,4,1,Speed,30.0,3.0,90.0,450.0,88.3,333.04,0.27,7.0,8.0,,0,0,0,0,0,0,1,0,0,0,0,1,345
93,93,93,2018-07-12,4,1,Skills,60.0,4.0,240.0,0.0,0.0,0.0,0.0,7.0,8.0,,0,0,1,0,0,0,0,0,0,0,0,1,345
94,94,94,2018-07-12,4,1,Strength,30.0,4.0,120.0,0.0,0.0,0.0,0.0,7.0,8.0,,0,0,0,0,1,0,0,0,0,0,0,1,345
95,95,95,2018-07-12,7,1,Speed,45.0,5.0,225.0,750.0,293.6,452.14,0.65,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,1,345
96,96,96,2018-07-12,7,1,Strength,45.0,5.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0,0,0,0,1,345
97,97,97,2018-07-12,7,1,Skills,75.0,4.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,345
98,98,98,2018-07-12,11,1,Speed,45.0,4.0,180.0,660.0,231.9,450.82,0.51,9.0,10.0,Absolutely,0,0,0,0,0,0,1,0,0,1,0,0,345
99,99,99,2018-07-12,11,1,Strength,45.0,4.0,180.0,0.0,0.0,0.0,0.0,9.0,10.0,Absolutely,0,0,0,0,1,0,0,0,0,1,0,0,345
100,100,100,2018-07-12,11,1,Skills,75.0,4.0,300.0,0.0,0.0,0.0,0.0,9.0,10.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,345
101,101,101,2018-07-12,13,1,Speed,40.0,5.0,200.0,910.0,306.3,346.39,0.88,0.0,0.0,Not at all,0,0,0,0,0,0,1,0,1,0,0,0,345
102,102,102,2018-07-12,13,1,Strength,40.0,5.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,0,0,0,0,1,0,0,0,1,0,0,0,345
103,103,103,2018-07-12,13,1,Skills,60.0,5.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,0,0,1,0,0,0,0,0,1,0,0,0,345
104,104,104,2018-07-12,13,1,Conditioning,30.0,7.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,0,0,0,1,0,0,0,0,1,0,0,0,345
105,105,105,2018-07-12,13,1,Mobility/Recovery,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,1,0,0,0,0,0,0,0,1,0,0,0,345
106,106,106,2018-07-12,14,1,Speed,30.0,3.0,90.0,510.0,170.9,379.68,0.45,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,1,345
107,107,107,2018-07-12,14,1,Strength,45.0,4.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0,0,0,0,1,345
108,108,108,2018-07-12,14,1,Skills,60.0,4.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,345
109,109,109,2018-07-12,16,1,Speed,30.0,3.0,90.0,555.0,255.0,455.89,0.56,8.0,9.0,,0,0,0,0,0,0,1,0,0,0,0,1,345
110,110,110,2018-07-12,16,1,Strength,45.0,5.0,225.0,0.0,0.0,0.0,0.0,8.0,9.0,,0,0,0,0,1,0,0,0,0,0,0,1,345
111,111,111,2018-07-12,16,1,Skills,60.0,4.0,240.0,0.0,0.0,0.0,0.0,8.0,9.0,,0,0,1,0,0,0,0,0,0,0,0,1,345
112,112,112,2018-07-11,2,0,,0.0,0.0,0.0,0.0,227.7,412.29,0.55,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,344
113,113,113,2018-07-11,3,0,,0.0,0.0,0.0,0.0,280.4,418.86,0.67,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,344
114,114,114,2018-07-11,7,0,,0.0,0.0,0.0,0.0,287.1,455.89,0.63,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,344
115,115,115,2018-07-11,10,0,,0.0,0.0,0.0,0.0,223.6,278.75,0.8,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,344
116,116,116,2018-07-11,11,0,,0.0,0.0,0.0,0.0,224.7,470.46,0.48,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,344
117,117,117,2018-07-11,13,1,Mobility/Recovery,60.0,0.0,0.0,0.0,176.3,347.11,0.51,0.0,0.0,Not at all,1,0,0,0,0,0,0,0,1,0,0,0,344
118,118,118,2018-07-11,15,0,,0.0,0.0,0.0,0.0,68.6,174.11,0.39,0.0,0.0,,0,0,0,0,0,0,0,1,0,0,0,1,344
119,119,119,2018-07-11,16,0,,0.0,0.0,0.0,0.0,340.7,470.71,0.72,0.0,0.0,Absolutely,0,0,0,0,0,0,0,1,0,1,0,0,344
120,120,120,2018-07-10,1,1,Skills,90.0,4.0,360.0,360.0,85.0,228.75,0.37,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,343
121,121,121,2018-07-10,2,1,Skills,45.0,3.0,135.0,199.0,317.7,435.86,0.73,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,343
122,122,122,2018-07-10,2,1,Game,16.0,4.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,1,343
123,123,123,2018-07-10,3,1,Skills,40.0,4.0,160.0,208.0,400.4,447.79,0.89,0.0,0.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,343
124,124,124,2018-07-10,3,1,Game,12.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,Absolutely,0,1,0,0,0,0,0,0,0,1,0,0,343
125,125,125,2018-07-10,4,1,Skills,30.0,4.0,120.0,168.0,174.7,375.89,0.46,8.0,8.0,,0,0,1,0,0,0,0,0,0,0,0,1,343
126,126,126,2018-07-10,4,1,Game,12.0,4.0,48.0,0.0,0.0,0.0,0.0,8.0,8.0,,0,1,0,0,0,0,0,0,0,0,0,1,343
127,127,127,2018-07-10,5,1,Game,10.0,6.0,60.0,60.0,111.4,146.07,0.76,9.0,10.0,,0,1,0,0,0,0,0,0,0,0,0,1,343
128,128,128,2018-07-10,6,1,Game,14.0,7.0,98.0,278.0,263.3,408.46,0.64,9.0,9.0,,0,1,0,0,0,0,0,0,0,0,0,1,343
129,129,129,2018-07-10,6,1,Skills,45.0,4.0,180.0,0.0,0.0,0.0,0.0,9.0,9.0,,0,0,1,0,0,0,0,0,0,0,0,1,343
130,130,130,2018-07-10,7,1,Skills,60.0,5.0,300.0,420.0,362.1,470.89,0.77,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,343
131,131,131,2018-07-10,7,1,Mobility/Recovery,60.0,2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,1,343
132,132,132,2018-07-10,10,1,Skills,60.0,3.0,180.0,230.0,300.7,302.32,0.99,6.0,6.0,,0,0,1,0,0,0,0,0,0,0,0,1,343
133,133,133,2018-07-10,10,1,Game,10.0,5.0,50.0,0.0,0.0,0.0,0.0,6.0,6.0,,0,1,0,0,0,0,0,0,0,0,0,1,343
134,134,134,2018-07-10,11,1,Skills,45.0,3.0,135.0,183.0,291.1,496.71,0.59,10.0,10.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,343
135,135,135,2018-07-10,11,1,Game,12.0,4.0,48.0,0.0,0.0,0.0,0.0,10.0,10.0,Absolutely,0,1,0,0,0,0,0,0,0,1,0,0,343
136,136,136,2018-07-10,13,1,Skills,40.0,5.0,200.0,254.0,176.3,375.68,0.47,0.0,0.0,Not at all,0,0,1,0,0,0,0,0,1,0,0,0,343
137,137,137,2018-07-10,13,1,Conditioning,9.0,6.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,Not at all,0,0,0,1,0,0,0,0,1,0,0,0,343
138,138,138,2018-07-10,14,1,Skills,30.0,3.0,90.0,146.0,166.6,408.07,0.41,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,343
139,139,139,2018-07-10,14,1,Game,14.0,4.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,1,343
140,140,140,2018-07-10,15,1,Game,12.0,6.0,72.0,72.0,147.4,191.68,0.77,0.0,7.0,,0,1,0,0,0,0,0,0,0,0,0,1,343
141,141,141,2018-07-10,16,1,Skills,60.0,6.0,360.0,375.0,430.7,491.43,0.88,10.0,10.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,343
142,142,142,2018-07-10,16,1,Mobility/Recovery,30.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,10.0,Absolutely,1,0,0,0,0,0,0,0,0,1,0,0,343
143,143,143,2018-07-09,2,1,Speed,30.0,3.0,90.0,780.0,303.6,428.75,0.71,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,1,342
144,144,144,2018-07-09,2,1,Skills,90.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,1,342
145,145,145,2018-07-09,2,1,Strength,60.0,4.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0,0,0,0,1,342
146,146,146,2018-07-09,2,1,Mobility/Recovery,45.0,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,1,342
147,147,147,2018-07-09,3,1,Speed,45.0,4.0,180.0,990.0,370.7,440.36,0.84,0.0,0.0,Absolutely,0,0,0,0,0,0,1,0,0,1,0,0,342
148,148,148,2018-07-09,3,1,Skills,90.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,Absolutely,0,0,1,0,0,0,0,0,0,1,0,0,342
149,149,149,2018-07-09,3,1,Strength,90.0,5.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,Absolutely,0,0,0,0,1,0,0,0,0,1,0,0,342
150,150,150,2018-07-09,5,1,Speed,60.0,3.0,180.0,720.0,102.9,143.93,0.71,8.0,9.0,,0,0,0,0,0,0,1,0,0,0,0,1,342
151,151,151,2018-07-09,5,1,Skills,60.0,3.0,180.0,0.0,0.0,0.0,0.0,8.0,9.0,,0,0,1,0,0,0,0,0,0,0,0,1,342
152,152,152,2018-07-09,5,1,Strength,90.0,4.0,360.0,0.0,0.0,0.0,0.0,8.0,9.0,,0,0,0,0,1,0,0,0,0,0,0,1,342
153,153,153,2018-07-09,6,1,Speed,45.0,3.0,135.0,845.0,223.6,452.11,0.49,8.0,8.0,,0,0,0,0,0,0,1,0,0,0,0,1,342
154,154,154,2018-07-09,6,1,Skills,90.0,4.0,360.0,0.0,0.0,0.0,0.0,8.0,8.0,,0,0,1,0,0,0,0,0,0,0,0,1,342
155,155,155,2018-07-09,6,1,Strength,70.0,5.0,350.0,0.0,0.0,0.0,0.0,8.0,8.0,,0,0,0,0,1,0,0,0,0,0,0,1,342
