"","X","Unnamed..0","Date","PlayerID","Training","SessionType","Duration","RPE","SessionLoad","DailyLoad","AcuteLoad","ChronicLoad","AcuteChronicRatio","ObjectiveRating","FocusRating","BestOutOfMyself","SessionTypeMobility.Recovery","SessionTypeGame","SessionTypeSkills","SessionTypeConditioning","SessionTypeStrength","SessionTypeCombat","SessionTypeSpeed","SessionTypeUnknown","BestOutOfMyselfNotAtAll","BestOutOfMyselfAbsolutely","BestOutOfMyselfSomewhat","BestOutOfMyselfUnknown","TimeSinceAugFirst"
"29",28,28,"2018-07-18",16,0,"",60,4,216,580,68.6,378.21,0.18,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,351
"30",29,29,"2018-07-17",1,1,"Skills",60,3,180,195,62.1,173.93,0.36,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,350
"31",30,30,"2018-07-17",1,1,"Mobility/Recovery",30,0,15,580,299.3,334.29,0.92,8,8,"",1,0,0,0,0,0,0,0,0,0,0,1,350
"32",31,31,"2018-07-17",2,1,"Skills",60,4,240,280,181.4,349.07,0.52,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,350
"33",32,32,"2018-07-17",2,1,"Mobility/Recovery",40,1,40,580,299.3,334.29,0.92,8,8,"",1,0,0,0,0,0,0,0,0,0,0,1,350
"34",33,33,"2018-07-17",3,1,"Skills",75,5,375,375,190.7,392.61,0.49,8,8,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,350
"35",34,34,"2018-07-17",4,1,"Skills",60,5,300,300,107.1,309.11,0.35,7,8,"",0,0,1,0,0,0,0,0,0,0,0,1,350
"36",35,35,"2018-07-17",5,1,"Skills",60,5,300,300,42.9,100.71,0.43,9,9,"",0,0,1,0,0,0,0,0,0,0,0,1,350
"37",36,36,"2018-07-17",6,1,"Speed",30,3,90,370,52.9,333.5,0.16,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,350
"38",37,37,"2018-07-17",6,1,"Conditioning",35,8,280,580,299.3,334.29,0.92,8,8,"",0,0,0,1,0,0,0,0,0,0,0,1,350
"39",38,38,"2018-07-17",7,1,"Skills",75,6,450,450,205.7,401.79,0.51,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,350
"40",39,39,"2018-07-17",10,1,"Skills",60,4,240,240,79.3,298.57,0.27,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,350
"41",40,40,"2018-07-17",11,1,"Skills",90,5,450,450,210,391.36,0.54,9,9,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,350
"42",41,41,"2018-07-17",13,1,"Skills",90,6,540,540,268.6,309.25,0.87,8,8,"Not at all",0,0,1,0,0,0,0,0,1,0,0,0,350
"43",42,42,"2018-07-17",13,1,"Mobility/Recovery",60,0,0,580,299.3,334.29,0.92,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,350
"44",43,43,"2018-07-17",14,1,"Skills",90,5,450,450,137.1,330.93,0.41,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,350
"45",44,44,"2018-07-17",15,1,"Skills",60,4,240,240,34.3,161.68,0.21,8,9,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,350
"46",45,45,"2018-07-17",16,1,"Skills",60,3,180,220,147.9,401.25,0.37,10,10,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,350
"47",46,46,"2018-07-17",16,1,"Mobility/Recovery",40,1,40,580,299.3,334.29,0.92,10,10,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,350
"48",47,47,"2018-07-16",1,1,"Skills",60,3,180,240,34.3,166.96,0.21,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,349
"49",48,48,"2018-07-16",1,1,"Speed",30,2,60,580,299.3,334.29,0.92,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,349
"50",49,49,"2018-07-16",2,1,"Speed",20,3,60,240,141.4,339.07,0.42,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,349
"51",50,50,"2018-07-16",2,1,"Skills",50,3,150,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,349
"52",51,51,"2018-07-16",2,1,"Mobility/Recovery",15,2,30,580,299.3,334.29,0.92,8,8,"",1,0,0,0,0,0,0,0,0,0,0,1,349
"53",52,52,"2018-07-16",3,1,"Speed",30,4,120,360,137.1,379.21,0.36,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,349
"54",53,53,"2018-07-16",3,1,"Skills",60,4,240,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,349
"55",54,54,"2018-07-16",7,1,"Skills",60,3,180,240,141.4,385.71,0.37,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,349
"56",55,55,"2018-07-16",7,1,"Speed",20,3,60,580,299.3,334.29,0.92,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,349
"57",56,56,"2018-07-16",10,1,"Speed",25,3,75,315,45,290,0.16,7,8,"",0,0,0,0,0,0,1,0,0,0,0,1,349
"58",57,57,"2018-07-16",10,1,"Skills",60,4,240,580,299.3,334.29,0.92,7,8,"",0,0,1,0,0,0,0,0,0,0,0,1,349
"59",58,58,"2018-07-16",11,1,"Skills",90,4,360,360,145.7,375.29,0.39,9,9,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,349
"60",59,59,"2018-07-16",13,1,"Speed",20,4,80,430,191.4,289.96,0.66,8,8,"Not at all",0,0,0,0,0,0,1,0,1,0,0,0,349
"61",60,60,"2018-07-16",13,1,"Skills",70,5,350,580,299.3,334.29,0.92,8,8,"Not at all",0,0,1,0,0,0,0,0,1,0,0,0,349
"62",61,61,"2018-07-16",13,1,"Mobility/Recovery",20,0,0,580,299.3,334.29,0.92,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,349
"63",62,62,"2018-07-16",16,1,"Speed",20,3,60,260,116.4,393.93,0.3,9,9,"Absolutely",0,0,0,0,0,0,1,0,0,1,0,0,349
"64",63,63,"2018-07-16",16,1,"Skills",60,3,180,580,299.3,334.29,0.92,9,9,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,349
"65",64,64,"2018-07-16",16,1,"Mobility/Recovery",40,0,20,580,299.3,334.29,0.92,9,9,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,349
"66",65,65,"2018-07-15",3,0,"",60,4,216,580,115.4,397.43,0.29,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,348
"67",66,66,"2018-07-15",7,0,"",60,4,216,580,167.1,416.25,0.4,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,348
"68",67,67,"2018-07-15",10,0,"",60,4,216,580,32.9,278.75,0.12,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,348
"69",68,68,"2018-07-15",11,0,"",60,4,216,580,120.4,404.21,0.3,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,348
"70",69,69,"2018-07-15",13,0,"",60,4,216,580,166.3,311.04,0.53,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,348
"71",70,70,"2018-07-15",16,0,"",60,4,216,580,132.9,418.75,0.32,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,348
"72",71,71,"2018-07-14",1,0,"",60,4,216,580,51.4,215.89,0.24,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,347
"73",72,72,"2018-07-14",2,1,"Mobility/Recovery",30,2,60,60,247,404.25,0.61,8,8,"",1,0,0,0,0,0,0,0,0,0,0,1,347
"74",73,73,"2018-07-14",3,0,"",60,4,216,580,256.9,397.43,0.65,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,347
"75",74,74,"2018-07-14",7,0,"",60,4,216,580,293.6,452.14,0.65,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,347
"76",75,75,"2018-07-14",13,0,"",60,4,216,580,269.1,346.39,0.78,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,347
"77",76,76,"2018-07-14",16,0,"",60,4,216,580,255,455.89,0.56,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,347
"78",77,77,"2018-07-13",1,0,"",60,4,216,580,51.4,215.89,0.24,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,346
"79",78,78,"2018-07-13",2,0,"",60,4,216,580,238.4,402.11,0.59,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,346
"80",79,79,"2018-07-13",3,0,"",60,4,216,580,256.9,397.43,0.65,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,346
"81",80,80,"2018-07-13",5,0,"",60,4,216,580,111.4,121.96,0.91,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,346
"82",81,81,"2018-07-13",7,0,"",60,4,216,580,293.6,452.14,0.65,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,346
"83",82,82,"2018-07-13",11,0,"",60,4,216,580,231.9,450.82,0.51,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,346
"84",83,83,"2018-07-13",13,0,"",60,4,216,580,306.3,346.39,0.88,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,346
"85",84,84,"2018-07-13",16,0,"",60,4,216,580,175.7,436.07,0.4,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,346
"86",85,85,"2018-07-12",2,1,"Speed",30,4,120,690,238.4,402.11,0.59,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,345
"87",86,86,"2018-07-12",2,1,"Strength",45,4,180,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,345
"88",87,87,"2018-07-12",2,1,"Skills",60,3,180,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,345
"89",88,88,"2018-07-12",2,1,"Mobility/Recovery",70,3,210,580,299.3,334.29,0.92,8,8,"",1,0,0,0,0,0,0,0,0,0,0,1,345
"90",89,89,"2018-07-12",3,1,"Speed",30,4,120,600,256.9,397.43,0.65,8,8,"Absolutely",0,0,0,0,0,0,1,0,0,1,0,0,345
"91",90,90,"2018-07-12",3,1,"Strength",45,4,180,580,299.3,334.29,0.92,8,8,"Absolutely",0,0,0,0,1,0,0,0,0,1,0,0,345
"92",91,91,"2018-07-12",3,1,"Conditioning",75,4,300,580,299.3,334.29,0.92,8,8,"Absolutely",0,0,0,1,0,0,0,0,0,1,0,0,345
"93",92,92,"2018-07-12",4,1,"Speed",30,3,90,450,88.3,333.04,0.27,7,8,"",0,0,0,0,0,0,1,0,0,0,0,1,345
"94",93,93,"2018-07-12",4,1,"Skills",60,4,240,580,299.3,334.29,0.92,7,8,"",0,0,1,0,0,0,0,0,0,0,0,1,345
"95",94,94,"2018-07-12",4,1,"Strength",30,4,120,580,299.3,334.29,0.92,7,8,"",0,0,0,0,1,0,0,0,0,0,0,1,345
"96",95,95,"2018-07-12",7,1,"Speed",45,5,225,750,293.6,452.14,0.65,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,345
"97",96,96,"2018-07-12",7,1,"Strength",45,5,225,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,345
"98",97,97,"2018-07-12",7,1,"Skills",75,4,300,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,345
"99",98,98,"2018-07-12",11,1,"Speed",45,4,180,660,231.9,450.82,0.51,9,10,"Absolutely",0,0,0,0,0,0,1,0,0,1,0,0,345
"100",99,99,"2018-07-12",11,1,"Strength",45,4,180,580,299.3,334.29,0.92,9,10,"Absolutely",0,0,0,0,1,0,0,0,0,1,0,0,345
"101",100,100,"2018-07-12",11,1,"Skills",75,4,300,580,299.3,334.29,0.92,9,10,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,345
"102",101,101,"2018-07-12",13,1,"Speed",40,5,200,910,306.3,346.39,0.88,8,8,"Not at all",0,0,0,0,0,0,1,0,1,0,0,0,345
"103",102,102,"2018-07-12",13,1,"Strength",40,5,200,580,299.3,334.29,0.92,8,8,"Not at all",0,0,0,0,1,0,0,0,1,0,0,0,345
"104",103,103,"2018-07-12",13,1,"Skills",60,5,300,580,299.3,334.29,0.92,8,8,"Not at all",0,0,1,0,0,0,0,0,1,0,0,0,345
"105",104,104,"2018-07-12",13,1,"Conditioning",30,7,210,580,299.3,334.29,0.92,8,8,"Not at all",0,0,0,1,0,0,0,0,1,0,0,0,345
"106",105,105,"2018-07-12",13,1,"Mobility/Recovery",60,0,0,580,299.3,334.29,0.92,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,345
"107",106,106,"2018-07-12",14,1,"Speed",30,3,90,510,170.9,379.68,0.45,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,345
"108",107,107,"2018-07-12",14,1,"Strength",45,4,180,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,345
"109",108,108,"2018-07-12",14,1,"Skills",60,4,240,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,345
"110",109,109,"2018-07-12",16,1,"Speed",30,3,90,555,255,455.89,0.56,8,9,"",0,0,0,0,0,0,1,0,0,0,0,1,345
"111",110,110,"2018-07-12",16,1,"Strength",45,5,225,580,299.3,334.29,0.92,8,9,"",0,0,0,0,1,0,0,0,0,0,0,1,345
"112",111,111,"2018-07-12",16,1,"Skills",60,4,240,580,299.3,334.29,0.92,8,9,"",0,0,1,0,0,0,0,0,0,0,0,1,345
"113",112,112,"2018-07-11",2,0,"",60,4,216,580,227.7,412.29,0.55,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,344
"114",113,113,"2018-07-11",3,0,"",60,4,216,580,280.4,418.86,0.67,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,344
"115",114,114,"2018-07-11",7,0,"",60,4,216,580,287.1,455.89,0.63,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,344
"116",115,115,"2018-07-11",10,0,"",60,4,216,580,223.6,278.75,0.8,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,344
"117",116,116,"2018-07-11",11,0,"",60,4,216,580,224.7,470.46,0.48,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,344
"118",117,117,"2018-07-11",13,1,"Mobility/Recovery",60,0,0,0,176.3,347.11,0.51,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,344
"119",118,118,"2018-07-11",15,0,"",60,4,216,580,68.6,174.11,0.39,8,8,"",0,0,0,0,0,0,0,1,0,0,0,1,344
"120",119,119,"2018-07-11",16,0,"",60,4,216,580,340.7,470.71,0.72,8,8,"Absolutely",0,0,0,0,0,0,0,1,0,1,0,0,344
"121",120,120,"2018-07-10",1,1,"Skills",90,4,360,360,85,228.75,0.37,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,343
"122",121,121,"2018-07-10",2,1,"Skills",45,3,135,199,317.7,435.86,0.73,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,343
"123",122,122,"2018-07-10",2,1,"Game",16,4,64,580,299.3,334.29,0.92,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,343
"124",123,123,"2018-07-10",3,1,"Skills",40,4,160,208,400.4,447.79,0.89,8,8,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,343
"125",124,124,"2018-07-10",3,1,"Game",12,4,48,580,299.3,334.29,0.92,8,8,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,343
"126",125,125,"2018-07-10",4,1,"Skills",30,4,120,168,174.7,375.89,0.46,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,343
"127",126,126,"2018-07-10",4,1,"Game",12,4,48,580,299.3,334.29,0.92,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,343
"128",127,127,"2018-07-10",5,1,"Game",10,6,60,60,111.4,146.07,0.76,9,10,"",0,1,0,0,0,0,0,0,0,0,0,1,343
"129",128,128,"2018-07-10",6,1,"Game",14,7,98,278,263.3,408.46,0.64,9,9,"",0,1,0,0,0,0,0,0,0,0,0,1,343
"130",129,129,"2018-07-10",6,1,"Skills",45,4,180,580,299.3,334.29,0.92,9,9,"",0,0,1,0,0,0,0,0,0,0,0,1,343
"131",130,130,"2018-07-10",7,1,"Skills",60,5,300,420,362.1,470.89,0.77,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,343
"132",131,131,"2018-07-10",7,1,"Mobility/Recovery",60,2,120,580,299.3,334.29,0.92,8,8,"",1,0,0,0,0,0,0,0,0,0,0,1,343
"133",132,132,"2018-07-10",10,1,"Skills",60,3,180,230,300.7,302.32,0.99,6,6,"",0,0,1,0,0,0,0,0,0,0,0,1,343
"134",133,133,"2018-07-10",10,1,"Game",10,5,50,580,299.3,334.29,0.92,6,6,"",0,1,0,0,0,0,0,0,0,0,0,1,343
"135",134,134,"2018-07-10",11,1,"Skills",45,3,135,183,291.1,496.71,0.59,10,10,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,343
"136",135,135,"2018-07-10",11,1,"Game",12,4,48,580,299.3,334.29,0.92,10,10,"Absolutely",0,1,0,0,0,0,0,0,0,1,0,0,343
"137",136,136,"2018-07-10",13,1,"Skills",40,5,200,254,176.3,375.68,0.47,8,8,"Not at all",0,0,1,0,0,0,0,0,1,0,0,0,343
"138",137,137,"2018-07-10",13,1,"Conditioning",9,6,54,580,299.3,334.29,0.92,8,8,"Not at all",0,0,0,1,0,0,0,0,1,0,0,0,343
"139",138,138,"2018-07-10",14,1,"Skills",30,3,90,146,166.6,408.07,0.41,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,343
"140",139,139,"2018-07-10",14,1,"Game",14,4,56,580,299.3,334.29,0.92,8,8,"",0,1,0,0,0,0,0,0,0,0,0,1,343
"141",140,140,"2018-07-10",15,1,"Game",12,6,72,72,147.4,191.68,0.77,8,7,"",0,1,0,0,0,0,0,0,0,0,0,1,343
"142",141,141,"2018-07-10",16,1,"Skills",60,6,360,375,430.7,491.43,0.88,10,10,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,343
"143",142,142,"2018-07-10",16,1,"Mobility/Recovery",30,0,15,580,299.3,334.29,0.92,10,10,"Absolutely",1,0,0,0,0,0,0,0,0,1,0,0,343
"144",143,143,"2018-07-09",2,1,"Speed",30,3,90,780,303.6,428.75,0.71,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,342
"145",144,144,"2018-07-09",2,1,"Skills",90,4,360,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,342
"146",145,145,"2018-07-09",2,1,"Strength",60,4,240,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,342
"147",146,146,"2018-07-09",2,1,"Mobility/Recovery",45,2,90,580,299.3,334.29,0.92,8,8,"",1,0,0,0,0,0,0,0,0,0,0,1,342
"148",147,147,"2018-07-09",3,1,"Speed",45,4,180,990,370.7,440.36,0.84,8,8,"Absolutely",0,0,0,0,0,0,1,0,0,1,0,0,342
"149",148,148,"2018-07-09",3,1,"Skills",90,4,360,580,299.3,334.29,0.92,8,8,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,342
"150",149,149,"2018-07-09",3,1,"Strength",90,5,450,580,299.3,334.29,0.92,8,8,"Absolutely",0,0,0,0,1,0,0,0,0,1,0,0,342
"151",150,150,"2018-07-09",5,1,"Speed",60,3,180,720,102.9,143.93,0.71,8,9,"",0,0,0,0,0,0,1,0,0,0,0,1,342
"152",151,151,"2018-07-09",5,1,"Skills",60,3,180,580,299.3,334.29,0.92,8,9,"",0,0,1,0,0,0,0,0,0,0,0,1,342
"153",152,152,"2018-07-09",5,1,"Strength",90,4,360,580,299.3,334.29,0.92,8,9,"",0,0,0,0,1,0,0,0,0,0,0,1,342
"154",153,153,"2018-07-09",6,1,"Speed",45,3,135,845,223.6,452.11,0.49,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,342
"155",154,154,"2018-07-09",6,1,"Skills",90,4,360,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,342
"156",155,155,"2018-07-09",6,1,"Strength",70,5,350,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,342
"157",156,156,"2018-07-09",7,1,"Speed",45,5,225,885,302.1,455.89,0.66,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,342
"158",157,157,"2018-07-09",7,1,"Skills",75,4,300,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,342
"159",158,158,"2018-07-09",7,1,"Strength",60,6,360,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,342
"160",159,159,"2018-07-09",10,1,"Speed",45,3,135,645,267.9,294.11,0.91,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,342
"161",160,160,"2018-07-09",10,1,"Skills",90,3,270,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,342
"162",161,161,"2018-07-09",10,1,"Strength",60,4,240,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,342
"163",162,162,"2018-07-09",11,1,"Speed",45,4,180,780,265,490.18,0.54,9,9,"Absolutely",0,0,0,0,0,0,1,0,0,1,0,0,342
"164",163,163,"2018-07-09",11,1,"Skills",90,4,360,580,299.3,334.29,0.92,9,9,"Absolutely",0,0,1,0,0,0,0,0,0,1,0,0,342
"165",164,164,"2018-07-09",11,1,"Strength",60,4,240,580,299.3,334.29,0.92,9,9,"Absolutely",0,0,0,0,1,0,0,0,0,1,0,0,342
"166",165,165,"2018-07-09",13,1,"Speed",40,3,120,720,140,366.61,0.38,8,8,"Not at all",0,0,0,0,0,0,1,0,1,0,0,0,342
"167",166,166,"2018-07-09",13,1,"Skills",90,5,450,580,299.3,334.29,0.92,8,8,"Not at all",0,0,1,0,0,0,0,0,1,0,0,0,342
"168",167,167,"2018-07-09",13,1,"Strength",30,5,150,580,299.3,334.29,0.92,8,8,"Not at all",0,0,0,0,1,0,0,0,1,0,0,0,342
"169",168,168,"2018-07-09",13,1,"Mobility/Recovery",20,0,0,580,299.3,334.29,0.92,8,8,"Not at all",1,0,0,0,0,0,0,0,1,0,0,0,342
"170",169,169,"2018-07-09",14,1,"Speed",30,3,90,540,145.7,402.86,0.36,8,8,"",0,0,0,0,0,0,1,0,0,0,0,1,342
"171",170,170,"2018-07-09",14,1,"Skills",90,3,270,580,299.3,334.29,0.92,8,8,"",0,0,1,0,0,0,0,0,0,0,0,1,342
"172",171,171,"2018-07-09",14,1,"Strength",45,4,180,580,299.3,334.29,0.92,8,8,"",0,0,0,0,1,0,0,0,0,0,0,1,342
